ka,ke,k23,k32,v,lag1,prob
0.10684986114501953,0.07643495638370516,0.0024454593658447266,4.980304956436157,36.49048447608948,2.4067530632019043,0.12625012219254672
0.40709300994873054,0.09410861458778381,4.997472286224365,3.7656028270721436,80.03406429290771,3.6689704895019535,0.07586848674656045
0.16699798583984374,0.04156257421970368,0.002338886260986328,4.998302102088928,42.82346534729004,2.1528319358825687,0.09542574616999532
0.14271545410156247,0.0999804469108582,0.0001068115234375,4.997256278991699,58.505131244659424,3.515424251556397,0.12717666341008116
0.10309986114501954,0.09994745638370517,0.0024454593658447266,4.999836206436157,40.28735947608948,2.2317530632019045,0.046587109464518564
0.10059986114501954,0.08192636263370513,0.0024454593658447266,4.999836206436157,63.77173447608948,2.763003063201904,0.05498634624882033
0.4683404541015625,0.06455700941085817,3.1563568115234375,4.997256278991699,76.50513124465942,3.224799251556396,0.000664169238144336
0.10684986114501953,0.07651230013370516,0.0024454593658447266,4.980304956436157,36.56079697608948,2.4067530632019043,0.005293699434639714
0.10747486114501953,0.07651230013370516,0.0024454593658447266,4.980304956436157,36.49048447608948,2.4067530632019043,0.1647204485768184
0.10372486114501954,0.09994745638370517,0.0024454593658447266,4.999836206436157,40.35767197608948,2.2317530632019045,0.1848053065726259
0.40709300994873054,0.09410861458778381,4.997472286224365,3.7695090770721436,79.96375179290771,3.6689704895019535,0.0026564256621455407
0.14271545410156247,0.0999804469108582,0.0001068115234375,4.993350028991699,58.434818744659424,3.515424251556397,0.02115353365252607
0.4670904541015625,0.06455700941085817,3.1524505615234375,4.997256278991699,76.50513124465942,3.2216742515563963,0.032781521385743674
0.4683404541015625,0.06455700941085817,3.1641693115234375,4.997256278991699,76.50513124465942,3.224799251556396,0.049615270448562135
0.40771800994873053,0.09410861458778381,4.997472286224365,3.7656028270721436,79.96375179290771,3.6689704895019535,0.00708617782462304
0.10309986114501954,0.09994745638370517,0.0024454593658447266,4.988117456436157,40.28735947608948,2.2317530632019045,0.00017768801285653917
0.16699798583984374,0.04156257421970368,0.002338886260986328,4.994395852088928,42.82346534729004,2.149706935882569,0.004361636305565361
0.10059986114501954,0.08192636263370513,0.0024454593658447266,4.984211206436157,63.77173447608948,2.763003063201904,0.00038964865322655356
