cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v.mean,v.median,v.sd,lag1.mean,lag1.median,lag1.sd
31,false,Continue,577.1299214045669,10,4.70312,0.19071116638183594,0.140407657623291,0.01632320630113304,0.07985287177085879,0.08749511263370514,0.0002892755170323827,0.9293608903884888,0.0977630615234375,2.8299459980563015,4.707907354831695,4.886554956436157,0.25121832523060084,57.20206582546234,54.06860947608948,193.68354220280787,2.6817465496063235,2.506753063201904,0.359229153381748
32,false,Continue,576.9470725170249,9,4.70312,0.19500235663519966,0.12872486114501955,0.018156446058630826,0.07935241203308106,0.08749511263370514,0.0003234378724719176,1.0078717602623835,0.0977630615234375,3.0926652070117644,4.700931085480584,4.886554956436157,0.2820730971262592,56.10415577888489,47.31860947608948,204.3331621864322,2.6189768049452042,2.2567530632019044,0.35980733805021786
33,false,Continue,576.8975169775773,8,4.70312,0.20578704357147218,0.140407657623291,0.019553898066068755,0.07833457445800306,0.08749511263370514,0.00035898735143857313,1.1130422353744507,0.10083222389221191,3.3983845685646656,4.693353101611137,4.886554956436157,0.3221049746004452,57.202349066734314,54.06860947608948,221.11874938186787,2.6892547726631166,2.556753063201904,0.3661216038070609
34,false,Continue,576.8851804732052,9,4.70312,0.19500235663519966,0.12872486114501955,0.018156446058630826,0.08017741203308106,0.08997011263370515,0.0003416155729618261,0.9800939824846056,0.0977630615234375,3.113132389012242,4.7148199743694725,4.886554956436157,0.2859892924095928,55.35415577888489,45.06860947608948,221.69002157239942,2.6411990271674264,2.3567530632019045,0.36838862511635956
35,false,Continue,576.8364473055918,9,4.70312,0.1950023566351997,0.12872486114501955,0.018156446058630822,0.08045241203308107,0.09178200941085818,0.0003514182439584623,0.9800939824846056,0.0977630615234375,3.113132389012242,4.7148199743694725,4.886554956436157,0.2859892924095928,55.35415577888489,45.06860947608948,221.69002157239944,2.6411990271674264,2.3567530632019045,0.3683886251163596
36,false,Continue,576.7674841844756,8,4.70312,0.20328704357147218,0.140407657623291,0.020044253394219915,0.07926269945800306,0.08840106102228165,0.0003888124641220269,1.0817922353744507,0.10083222389221191,3.4380923739938516,4.693353101611137,4.886554956436157,0.3221049746004453,56.358599066734314,51.81860947608948,244.4291310923972,2.7142547726631165,2.556753063201904,0.4029741454581055
37,false,Continue,576.7648668654215,8,4.70312,0.2032870435714722,0.140407657623291,0.020044253394219915,0.07926269945800306,0.08840106102228165,0.0003888124641220269,1.0661672353744507,0.10083222389221191,3.463805651708445,4.693353101611137,4.886554956436157,0.3221049746004452,56.358599066734314,51.81860947608948,244.4291310923972,2.7142547726631165,2.556753063201904,0.40297414545810556
38,false,Continue,576.7648668654215,8,4.70312,0.20328704357147218,0.140407657623291,0.020044253394219915,0.07926269945800306,0.08840106102228165,0.00038881246412202693,1.0661672353744507,0.10083222389221191,3.463805651708445,4.693353101611137,4.886554956436157,0.3221049746004452,56.358599066734314,51.81860947608948,244.4291310923972,2.714254772663117,2.556753063201904,0.4029741454581055
39,false,Continue,576.6496834449682,11,4.70312,0.18398809606378733,0.12872486114501955,0.01525774919088999,0.0753845614910126,0.08502011263370514,0.00041384092860793844,0.8037504716352983,0.04150795936584473,2.6314276868211754,4.7718283479863945,4.920177102088928,0.24264641358132444,54.15566266666759,42.81860947608948,213.34688003402002,2.624068294871937,2.3567530632019045,0.33193567599221985
40,false,Continue,576.6171169164286,12,4.70312,0.18299662590026855,0.140407657623291,0.013800053491979476,0.07541039048433303,0.07512011263370513,0.0004103351314980002,0.7240848541259766,0.04150795936584473,2.492940410929567,4.78735880057017,4.895693778991699,0.20560663244674607,53.357962131500244,42.81860947608948,211.6357127473117,2.663452124595642,2.3817530632019044,0.3642768135945007
41,false,Continue,576.563532175863,12,4.70312,0.20882995923360193,0.140407657623291,0.02006640259665847,0.07345101548433305,0.06707636263370514,0.00039326792245002705,0.9688765207926432,0.04150795936584473,2.875301509601971,4.808192133903503,4.949054956436157,0.194105090351764,54.107962131500244,42.57494366168976,250.5416177014417,2.6342854579289754,2.3567530632019045,0.321738774054701
42,false,Continue,576.5203971819176,11,4.70312,0.1888395136052912,0.15209045410156247,0.015396150782208245,0.07689927937984468,0.08378261263370514,0.0004484252474125437,0.7861372991041704,0.04150795936584473,2.7264859625529057,4.801068240945989,4.949054956436157,0.19432503320646038,53.80472146381032,42.33127784729004,224.5611784829054,2.695879311995073,2.3567530632019045,0.38212893690993843
43,false,Continue,576.4781298596171,11,4.70312,0.21202156413685194,0.15209045410156247,0.01943341209784834,0.07721625769138339,0.08378261263370514,0.00046077195441545006,1.231920524076982,0.04150795936584473,4.176035776700642,4.6890997453169385,4.949054956436157,0.3418288589735717,55.13547674092379,42.33127784729004,273.03538274384664,2.7149516972628507,2.3567530632019045,0.4130350799660164
44,false,Continue,576.4768374727311,11,4.70312,0.1888395136052912,0.15209045410156247,0.015396150782208245,0.07712427937984469,0.08378261263370514,0.0004569616362778953,0.7861372991041704,0.04150795936584473,2.7264859625529057,4.818113695491444,4.949054956436157,0.19849729304655872,53.70244873653758,42.33127784729004,222.44793997539608,2.7004247665405274,2.4067530632019043,0.374366984769824
