id,point,ka,ke,k23,k32,v0,lag1,prob
1,0,0.14122486114501956,0.06243573763370515,1.3540079593658447,4.980304956436157,40.56860947608948,2.981753063201904,0.7254499394687738
1,1,0.13144821166992182,0.09076475074291233,0.012846589088439941,4.994978308677673,90.77033114433289,0.7835594177246094,0.000000000000052049636940325335
1,2,0.3039482116699219,0.0524022507429123,0.012846589088439941,4.994978308677673,110.73908114433289,0.9585594177246095,0.000000001336651938342779
1,3,0.11872486114501954,0.08316386263370516,0.010257959365844727,4.995929956436157,39.44360947608948,2.3317530632019037,0.02533422723560543
1,4,0.10122486114501954,0.07450136263370517,0.010257959365844727,4.995929956436157,56.88110947608948,3.069253063201904,0.00001960423417227491
1,5,0.10122486114501954,0.07419198763370514,0.010257959365844727,4.995929956436157,39.16235947608948,2.0942530632019043,0.24919306946473888
1,6,0.12872486114501955,0.09368261263370516,0.010257959365844727,4.995929956436157,58.84985947608948,2.3567530632019036,0.0000000019147581501950036
1,7,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.38110947608948,3.0317530632019043,0.0000005119333189153697
1,8,0.13144821166992182,0.09045537574291233,0.012846589088439941,4.994978308677673,90.48908114433289,0.7835594177246094,0.0000000000000035066021100671406
1,9,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.09985947608948,3.0317530632019043,0.0000026444119251350357
10,0,0.14122486114501956,0.06243573763370515,1.3540079593658447,4.980304956436157,40.56860947608948,2.981753063201904,0.000000000000000000000000000000000000000008877332477211016
10,1,0.13144821166992182,0.09076475074291233,0.012846589088439941,4.994978308677673,90.77033114433289,0.7835594177246094,0.002439335695915905
10,2,0.3039482116699219,0.0524022507429123,0.012846589088439941,4.994978308677673,110.73908114433289,0.9585594177246095,0.5304119766475721
10,3,0.11872486114501954,0.08316386263370516,0.010257959365844727,4.995929956436157,39.44360947608948,2.3317530632019037,0.0000000000052814161310272484
10,4,0.10122486114501954,0.07450136263370517,0.010257959365844727,4.995929956436157,56.88110947608948,3.069253063201904,0.00011406156071129859
10,5,0.10122486114501954,0.07419198763370514,0.010257959365844727,4.995929956436157,39.16235947608948,2.0942530632019043,0.000000000000000000000009059553851945917
10,6,0.12872486114501955,0.09368261263370516,0.010257959365844727,4.995929956436157,58.84985947608948,2.3567530632019036,0.4566996989902042
10,7,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.38110947608948,3.0317530632019043,0.002095615250914595
10,8,0.13144821166992182,0.09045537574291233,0.012846589088439941,4.994978308677673,90.48908114433289,0.7835594177246094,0.0001615188719903145
10,9,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.09985947608948,3.0317530632019043,0.008077792977410098
11,0,0.14122486114501956,0.06243573763370515,1.3540079593658447,4.980304956436157,40.56860947608948,2.981753063201904,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002107119412403715
11,1,0.13144821166992182,0.09076475074291233,0.012846589088439941,4.994978308677673,90.77033114433289,0.7835594177246094,0.9179825634757499
11,2,0.3039482116699219,0.0524022507429123,0.012846589088439941,4.994978308677673,110.73908114433289,0.9585594177246095,0.00917588379368012
11,3,0.11872486114501954,0.08316386263370516,0.010257959365844727,4.995929956436157,39.44360947608948,2.3317530632019037,0.000000000000000000000000000000013851768109448875
11,4,0.10122486114501954,0.07450136263370517,0.010257959365844727,4.995929956436157,56.88110947608948,3.069253063201904,0.00000000000000754089836986164
11,5,0.10122486114501954,0.07419198763370514,0.010257959365844727,4.995929956436157,39.16235947608948,2.0942530632019043,0.000000000000000000000000000000000000000000000000000000013739321856406546
11,6,0.12872486114501955,0.09368261263370516,0.010257959365844727,4.995929956436157,58.84985947608948,2.3567530632019036,0.017203588770234684
11,7,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.38110947608948,3.0317530632019043,0.00000000016122357651267022
11,8,0.13144821166992182,0.09045537574291233,0.012846589088439941,4.994978308677673,90.48908114433289,0.7835594177246094,0.055637963348738176
11,9,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.09985947608948,3.0317530632019043,0.0000000004503660808136835
12,0,0.14122486114501956,0.06243573763370515,1.3540079593658447,4.980304956436157,40.56860947608948,2.981753063201904,0.00000000000016620201531975757
12,1,0.13144821166992182,0.09076475074291233,0.012846589088439941,4.994978308677673,90.77033114433289,0.7835594177246094,0.0000007725451461473286
12,2,0.3039482116699219,0.0524022507429123,0.012846589088439941,4.994978308677673,110.73908114433289,0.9585594177246095,0.005833277217451288
12,3,0.11872486114501954,0.08316386263370516,0.010257959365844727,4.995929956436157,39.44360947608948,2.3317530632019037,0.0018801873274183634
12,4,0.10122486114501954,0.07450136263370517,0.010257959365844727,4.995929956436157,56.88110947608948,3.069253063201904,0.36861038886783604
12,5,0.10122486114501954,0.07419198763370514,0.010257959365844727,4.995929956436157,39.16235947608948,2.0942530632019043,0.000000986214909119404
12,6,0.12872486114501955,0.09368261263370516,0.010257959365844727,4.995929956436157,58.84985947608948,2.3567530632019036,0.006403124158867619
12,7,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.38110947608948,3.0317530632019043,0.10953810106110443
12,8,0.13144821166992182,0.09045537574291233,0.012846589088439941,4.994978308677673,90.48908114433289,0.7835594177246094,0.00000005273227709005898
12,9,0.10122486114501954,0.07542948763370518,0.010257959365844727,4.995929956436157,61.09985947608948,3.0317530632019043,0.5077331098748237
