cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v0.mean,v0.median,v0.sd,lag1.mean,lag1.median,lag1.sd
16,false,Continue,577.1073704317728,10,4.87805,0.1708142013549805,0.12872486114501955,0.007111054494737316,0.068384217877388,0.06762836918830872,0.00018481067899382648,0.1362934112548828,0.06623977422714233,0.05360486486258272,4.842424297332764,4.886554956436157,0.036046926946239136,78.76179814338684,70.94360947608948,1213.551415932815,1.757475605010986,1.9567530632019043,0.907521747101534
17,false,Continue,577.0382708194644,11,4.87805,0.17019002047452061,0.12872486114501955,0.006404234664750432,0.06875943677425385,0.07003662574291229,0.00016787829252066125,0.14353688196702438,0.09097158908843994,0.047584934180793736,4.8562928438186646,4.886554956436157,0.03455793664956275,81.82223296165466,69.81860947608948,1235.5973228864782,1.6689377698031338,1.9567530632019043,0.9424618761971477
18,false,Continue,576.8972272769438,10,4.81783,0.1708142013549805,0.12872486114501955,0.007111054494737316,0.06912671787738801,0.07010336918830873,0.00017951113226187762,0.14879341125488282,0.09097158908843994,0.052534435643442776,4.842424297332764,4.886554956436157,0.036046926946239136,77.86179814338684,68.69360947608948,1183.4298215991662,1.7874756050109863,2.0067530632019044,0.9081803855258777
19,false,Continue,576.8345910969547,11,4.81783,0.17200820229270242,0.12872486114501955,0.006415631065895673,0.06943443677425386,0.0725116257429123,0.0001626016191500615,0.15490051833066074,0.09097158908843994,0.04957966566121878,4.844929207455028,4.886554956436157,0.04772183837957999,80.7995056889274,67.56860947608948,1200.3903957950536,1.6962104970758611,1.9567530632019043,0.9089848661638005
20,false,Continue,576.8177840763145,12,4.81783,0.1684012571970622,0.12872486114501955,0.005988512513162534,0.0692894930958748,0.07134086918830873,0.00015029925781160782,0.20795113841692606,0.09097158908843994,0.07884484282682784,4.817148019870122,4.886554956436157,0.061167749312241844,77.44693100452423,66.44360947608948,1226.1410803513327,1.7929223775863647,2.0067530632019044,0.9385881323132627
21,false,Continue,576.7786078942449,12,4.81783,0.16673459053039552,0.12872486114501955,0.006166123650321476,0.07032074309587479,0.0725116257429123,0.00014833612052172614,0.17670113841692606,0.09097158908843994,0.05077562776212885,4.858814686536789,4.886554956436157,0.04285625869703289,76.88443100452423,64.19360947608948,1251.265895408957,1.7262557109196977,1.9567530632019043,0.8517279113752447
22,false,Continue,576.7770036086795,12,4.81783,0.16673459053039552,0.12872486114501955,0.006166123650321476,0.07032074309587479,0.0725116257429123,0.0001483361205217261,0.17670113841692606,0.09097158908843994,0.05077562776212884,4.879648019870122,4.886554956436157,0.040802786116701156,76.88443100452423,64.19360947608948,1251.265895408957,1.726255710919698,1.9567530632019043,0.8517279113752448
23,false,Continue,576.7770036086791,12,4.81783,0.16673459053039552,0.12872486114501955,0.006166123650321476,0.07032074309587479,0.0725116257429123,0.0001483361205217261,0.17670113841692606,0.09097158908843994,0.05077562776212884,4.879648019870122,4.886554956436157,0.04080278611670115,76.88443100452423,64.19360947608948,1251.265895408957,1.7262557109196983,1.9567530632019043,0.8517279113752448
24,false,Continue,576.669916375437,11,4.81783,0.17109911138361153,0.12872486114501955,0.006511288657281946,0.07010943677425385,0.0725116257429123,0.0001558421603013467,0.12649142742156982,0.04150795936584473,0.05464056464794851,4.884701934727755,4.886554956436157,0.03751465959724695,80.39041477983648,65.31860947608948,1214.1391114775167,1.7053014061667704,1.9567530632019043,0.9311048083954121
25,false,Continue,576.6307174512278,11,4.81783,0.1488060795177113,0.12872486114501955,0.003990286822261829,0.07214657194614411,0.0725116257429123,0.00011457132074961839,0.13335837017406116,0.04150795936584473,0.0630534560178019,4.891890720887617,4.949054956436157,0.03748343190400556,75.28969008272344,64.19360947608948,1066.6065535708562,1.9119553739374338,2.056753063201904,0.934345815655542
