cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,lag1.mean,lag1.median,lag1.sd,v0.mean,v0.median,v0.sd
1,false,Continue,527.0641452471373,9,4.54545,0.45179251564873596,0.5135526657104492,0.0291768072833007,0.0513543999195099,0.05345096099376679,0.0002482962852256089,1.6670528517829046,1.283121109008789,1.8024204084465383,87.26348996162415,87.49969482421875,598.0967950011478
2,false,Continue,499.8527864599403,13,3.78788,0.46686658272376425,0.5135526657104492,0.03777218936692604,0.05193086591133705,0.05688181531429291,0.00022705538204088874,1.347340312370887,1.1192808151245117,1.1116326324147257,88.25213318604689,93.51278901100159,589.6725971172476
3,false,Continue,489.4649499391337,15,2.70563,0.4699744415283203,0.5347293853759766,0.05259993340965459,0.052579822564125064,0.054577017354965215,0.00021276235838919838,1.46837033589681,1.3660114288330079,1.3594242539688814,91.09704594612121,99.06817388534546,675.6438062154311
4,false,Continue,485.83041468586947,19,2.70563,0.49208501414248823,0.5135526657104492,0.05577495932634438,0.0539140176145654,0.054577017354965215,0.00019058495094089313,1.3574181908055354,1.1192808151245117,1.220683630683447,90.6447005397395,99.06817388534546,567.4471265641355
5,false,Continue,484.0782546502791,19,2.70563,0.5005060667740672,0.4819434547424316,0.05684942335914774,0.0539140176145654,0.054577017354965215,0.00019058495094089313,1.3574181908055354,1.1192808151245117,1.220683630683447,90.6447005397395,99.06817388534546,567.4471265641355
6,false,Continue,483.2584959411666,19,2.70563,0.5089271194056461,0.5135526657104492,0.05683576324501557,0.05391401761456539,0.054577017354965215,0.00019058495094089313,1.3574181908055354,1.1192808151245117,1.220683630683447,90.6447005397395,99.06817388534546,567.4471265641355
7,false,Continue,482.189040106416,19,2.97619,0.5089271194056461,0.5135526657104492,0.05683576324501557,0.05391401761456539,0.054577017354965215,0.00019058495094089313,1.3574181908055354,1.1192808151245117,1.220683630683447,90.6447005397395,99.06817388534546,567.4471265641355
8,false,Continue,482.18904001831817,18,2.97619,0.5104262118869358,0.5264651298522949,0.06013383348487114,0.053749139964580535,0.054577017354965215,0.00020124893942583566,1.3213124752044676,1.1192808151245117,1.2662627287777504,91.94073152542114,99.06817388534546,567.0348316549879
9,false,Continue,473.07360434742895,17,2.70563,0.5134290717629826,0.5135526657104492,0.06818828780315127,0.05311808835338144,0.054577017354965215,0.0002663260231479479,1.365741948520436,1.1192808151245117,1.263490684414241,92.58029373954324,99.06817388534546,573.1882670509051
10,false,Continue,470.6781478858694,18,2.70563,0.521791246202257,0.5216629028320312,0.06453971702958289,0.05295800709724426,0.052406821548938755,0.00025112105464638245,1.2939105775621202,0.9192808151245118,1.2815563595108992,94.09858906269073,99.06817388534546,580.9652825548055
11,false,Continue,469.1794512343181,18,2.70563,0.530680135091146,0.550660524368286,0.06571646522804848,0.05295800709724426,0.052406821548938755,0.00025112105464638245,1.2939105775621202,0.9192808151245118,1.2815563595108992,93.59858906269073,99.06817388534546,567.6653785028566
12,false,Continue,467.88191496868353,18,2.70563,0.5395690239800348,0.550660524368286,0.06823177551801735,0.05295800709724427,0.052406821548938755,0.0002511210546463824,1.3161327997843424,0.9192808151245118,1.3082742692801943,93.59858906269073,99.06817388534546,567.6653785028566
13,false,Continue,467.7909625163303,18,2.70563,0.5484579128689238,0.550660524368286,0.07208564789948946,0.05295800709724427,0.052406821548938755,0.0002511210546463824,1.3161327997843424,0.9192808151245118,1.3082742692801943,93.59858906269073,99.06817388534546,567.6653785028566
14,false,Continue,467.7909625163303,18,2.70563,0.5484579128689238,0.550660524368286,0.07208564789948946,0.05295800709724427,0.052406821548938755,0.0002511210546463824,1.3161327997843424,0.9192808151245118,1.3082742692801943,93.59858906269073,99.06817388534546,567.6653785028566
15,false,Continue,464.3139657401915,19,2.70563,0.574190277300383,0.6419434547424316,0.06946319861467448,0.05209033340403909,0.054577017354965215,0.00024170591954077728,1.420576085542378,1.3660114288330079,1.2349325681006391,91.59206896079213,99.06817388534546,564.632029169393
16,false,Continue,463.2304077042837,18,2.70563,0.572648434109158,0.5906605243682861,0.07429694195152442,0.05182413996458053,0.052406821548938755,0.0002544983995169357,1.3879791418711347,1.2426461219787597,1.288833785368111,93.19073152542114,99.06817388534546,568.6062366870894
